,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,fname
136,42089.0,0.2039,0.308,0.91,23.5,36.6,0.39,1.7,10401.0,Profiles_export_2/shot42089_t204.txt
137,42089.0,0.207,0.308,0.91,23.5,36.5,0.39,1.7,10459.0,Profiles_export_2/shot42089_t207.txt
138,42089.0,0.21009999999999998,0.308,0.91,23.4,36.5,0.39,1.7,10439.0,Profiles_export_2/shot42089_t210.txt
139,42089.0,0.2132,0.308,0.91,23.4,36.6,0.38,1.7,10307.0,Profiles_export_2/shot42089_t213.txt
140,42343.0,0.1851,0.358,0.82,23.6,36.4,0.38,1.7,12693.0,Profiles_export_2/shot42343_t185.txt
141,42343.0,0.18819999999999998,0.358,0.82,23.6,36.5,0.38,1.7,13098.0,Profiles_export_2/shot42343_t188.txt
142,42343.0,0.19140000000000001,0.358,0.82,23.7,36.4,0.38,1.7,13522.0,Profiles_export_2/shot42343_t191.txt
143,42343.0,0.1945,0.358,0.82,23.7,36.3,0.38,1.7,13615.0,Profiles_export_2/shot42343_t194.txt
144,42341.0,0.182,0.356,0.82,23.8,36.3,0.37,1.7,13149.0,Profiles_export_2/shot42341_t182.txt
145,42341.0,0.1851,0.356,0.82,23.7,36.4,0.39,1.7,13074.0,Profiles_export_2/shot42341_t185.txt
146,42341.0,0.18819999999999998,0.356,0.82,23.8,36.4,0.37,1.7,13442.0,Profiles_export_2/shot42341_t188.txt
147,42341.0,0.19140000000000001,0.356,0.82,23.6,36.2,0.35,1.7,13275.0,Profiles_export_2/shot42341_t191.txt
148,42341.0,0.1945,0.356,0.82,23.7,36.2,0.37,1.7,13077.0,Profiles_export_2/shot42341_t194.txt
149,42341.0,0.1976,0.356,0.82,23.7,36.4,0.38,1.7,13118.0,Profiles_export_2/shot42341_t198.txt
150,42708.0,0.1851,0.355,0.91,23.1,35.7,0.36,1.7,12181.0,Profiles_export_2/shot42708_t185.txt
151,42708.0,0.18819999999999998,0.355,0.91,23.1,35.7,0.38,1.7,12132.0,Profiles_export_2/shot42708_t188.txt
152,42708.0,0.19140000000000001,0.355,0.91,23.1,35.8,0.36,1.7,12467.0,Profiles_export_2/shot42708_t191.txt
153,42708.0,0.1945,0.355,0.91,23.1,35.7,0.38,1.7,12639.0,Profiles_export_2/shot42708_t194.txt
154,42708.0,0.2007,0.359,0.91,23.1,35.8,0.38,1.7,13002.0,Profiles_export_2/shot42708_t201.txt
