,shot#,time,Ip,Bt,a,R,tria,elon,Wmcc,fname
52,42121.0,0.1945,0.405,0.9,23.4,36.6,0.37,1.8,15584.0,Profiles_export_2/shot42121_t194.txt
53,42121.0,0.1976,0.405,0.9,23.5,36.7,0.37,1.8,16393.0,Profiles_export_2/shot42121_t198.txt
54,42121.0,0.2007,0.405,0.9,23.5,36.5,0.38,1.8,16203.0,Profiles_export_2/shot42121_t201.txt
55,42121.0,0.2039,0.405,0.9,23.5,36.6,0.38,1.8,16185.0,Profiles_export_2/shot42121_t204.txt
56,42121.0,0.207,0.405,0.9,23.5,36.7,0.39,1.8,16416.0,Profiles_export_2/shot42121_t207.txt
57,42121.0,0.21009999999999998,0.405,0.9,23.5,36.7,0.37,1.8,15860.0,Profiles_export_2/shot42121_t210.txt
58,42121.0,0.2132,0.405,0.9,23.4,36.6,0.38,1.8,15888.0,Profiles_export_2/shot42121_t213.txt
59,42121.0,0.2164,0.405,0.9,23.2,36.6,0.37,1.8,15721.0,Profiles_export_2/shot42121_t216.txt
60,42121.0,0.2195,0.405,0.9,23.4,36.6,0.38,1.8,15599.0,Profiles_export_2/shot42121_t220.txt
61,42122.0,0.19140000000000001,0.406,0.9,23.5,36.7,0.37,1.8,15517.0,Profiles_export_2/shot42122_t191.txt
62,42122.0,0.1945,0.406,0.9,23.6,36.6,0.37,1.8,15946.0,Profiles_export_2/shot42122_t194.txt
63,42122.0,0.1976,0.406,0.9,23.4,36.6,0.37,1.8,16203.0,Profiles_export_2/shot42122_t198.txt
64,42122.0,0.2007,0.406,0.9,23.5,36.6,0.38,1.8,16343.0,Profiles_export_2/shot42122_t201.txt
65,42122.0,0.2039,0.406,0.9,23.4,36.6,0.37,1.8,15961.0,Profiles_export_2/shot42122_t204.txt
66,42122.0,0.207,0.406,0.9,23.4,36.6,0.38,1.8,16117.0,Profiles_export_2/shot42122_t207.txt
67,42122.0,0.21009999999999998,0.406,0.9,23.4,36.6,0.37,1.8,16188.0,Profiles_export_2/shot42122_t210.txt
68,42122.0,0.2132,0.406,0.9,23.4,36.6,0.38,1.8,15846.0,Profiles_export_2/shot42122_t213.txt
69,42122.0,0.2164,0.406,0.9,23.3,36.6,0.38,1.8,15830.0,Profiles_export_2/shot42122_t216.txt
70,42122.0,0.2195,0.406,0.9,23.3,36.6,0.37,1.8,15718.0,Profiles_export_2/shot42122_t220.txt
71,42123.0,0.2007,0.41,0.91,23.6,36.2,0.39,1.8,17441.0,Profiles_export_2/shot42123_t201.txt
72,42123.0,0.2039,0.41,0.91,23.5,36.1,0.39,1.8,17234.0,Profiles_export_2/shot42123_t204.txt
73,42123.0,0.207,0.41,0.91,23.4,36.2,0.39,1.8,17589.0,Profiles_export_2/shot42123_t207.txt
74,42123.0,0.21009999999999998,0.41,0.91,23.4,36.2,0.39,1.8,17009.0,Profiles_export_2/shot42123_t210.txt
75,42123.0,0.2132,0.41,0.91,23.4,36.2,0.39,1.8,16639.0,Profiles_export_2/shot42123_t213.txt
76,42123.0,0.2164,0.41,0.91,23.3,36.3,0.38,1.8,16647.0,Profiles_export_2/shot42123_t216.txt
77,42123.0,0.2195,0.41,0.91,23.4,36.3,0.39,1.8,16622.0,Profiles_export_2/shot42123_t220.txt
78,42328.0,0.182,0.355,0.82,23.7,36.3,0.35,1.7,12754.0,Profiles_export_2/shot42328_t182.txt
79,42328.0,0.1851,0.355,0.82,23.7,36.3,0.39,1.7,12591.0,Profiles_export_2/shot42328_t185.txt
80,42328.0,0.18819999999999998,0.355,0.82,23.7,36.3,0.39,1.7,12959.0,Profiles_export_2/shot42328_t188.txt
81,42328.0,0.19140000000000001,0.355,0.82,23.7,36.3,0.39,1.7,13068.0,Profiles_export_2/shot42328_t191.txt
82,42328.0,0.1945,0.355,0.82,23.8,36.4,0.38,1.7,13024.0,Profiles_export_2/shot42328_t194.txt
83,42325.0,0.182,0.355,0.82,23.8,36.4,0.36,1.7,12681.0,Profiles_export_2/shot42325_t182.txt
84,42325.0,0.1851,0.355,0.82,23.8,36.3,0.36,1.7,12963.0,Profiles_export_2/shot42325_t185.txt
